family,FamilyShort,Combination,blocks,blocks_display,Cases,OK,MedSolve,MedIter,MedE2E,MedSpd,"10,000",118,14,14K,1K,200,2K,"3,022","30,000",300,39,4K,5,"5,658",500,57,6K,"7,336","8,387",family_order,combo_order
oracle_ac_constraint_dual,O-CD,$V_a{+}P_g$,Pg+Va,Va+Pg,18,17,3.013284921646118,33.0,3.2460739612579346,2.7409598769033265,80.306/-165,0.163/6,0.033/6,105.372/-134,3.013/-11,0.187/21,5.253/-7,7.442/17,\textbf{F},1.837/-276,0.067/-10,22.874/-47,0.017/24,12.739/15,0.779/9,0.082/14,63.046/-38,15.865/3,,3,"(2, (0, 2), 'Va+Pg')"
oracle_ac_constraint_dual,O-CD,$V_a{+}Q_g$,Qg+Va,Va+Qg,18,12,0.9086085557937621,72.5,0.9647064208984375,-59.86792215542711,\textbf{F},0.284/-63,0.029/17,\textbf{F},8.924/-228,0.251/-6,7.730/-57,\textbf{F},\textbf{F},1.942/-297,0.073/-19,43.482/-180,0.024/-5,30.015/-100,1.533/-80,0.086/9,\textbf{F},\textbf{F},,3,"(2, (0, 3), 'Va+Qg')"
oracle_ac_constraint_dual,O-CD,$V_m{+}P_g$,Pg+Vm,Vm+Pg,18,14,0.9894070625305176,23.5,1.0566561222076416,5.071482330955889,\textbf{F},0.163/6,0.034/4,\textbf{F},8.355/-207,0.193/19,5.866/-19,17.721/-97,\textbf{F},1.242/-154,0.056/8,20.020/-29,0.019/18,12.621/16,0.737/14,0.073/23,\textbf{F},21.419/-31,,3,"(2, (1, 2), 'Vm+Pg')"
oracle_ac_constraint_dual,O-CD,$V_m{+}Q_g$,Qg+Vm,Vm+Qg,18,14,1.542590618133545,85.0,1.5977182388305664,-59.59497477043797,\textbf{F},0.226/-30,0.035/2,\textbf{F},11.154/-310,0.224/6,7.257/-47,\textbf{F},\textbf{F},1.492/-205,0.088/-45,64.782/-317,0.026/-13,31.016/-107,1.593/-87,0.111/-16,78.844/-72,50.658/-211,,3,"(2, (1, 3), 'Vm+Qg')"
oracle_ac_constraint_dual,O-CD,$P_g{+}Q_g$,Pg+Qg,Pg+Qg,18,14,1.2647290229797363,50.0,1.3246605396270752,-35.95180303424626,\textbf{F},0.242/-39,0.034/4,\textbf{F},8.003/-194,0.186/22,7.237/-47,29.180/-225,\textbf{F},1.377/-182,0.070/-16,21.238/-37,0.024/-3,17.541/-17,1.152/-35,0.082/14,\textbf{F},27.433/-68,,3,"(2, (2, 3), 'Pg+Qg')"
oracle_ac_constraint_dual,O-CD,$V_a{+}V_m{+}P_g$,Pg+Vm+Va,Va+Vm+Pg,18,16,1.7559329271316528,20.0,2.0068061351776123,15.35025928422316,84.262/-178,0.145/17,0.031/14,\textbf{F},2.869/-6,0.204/14,5.748/-17,5.610/37,\textbf{F},0.640/-31,0.054/11,8.499/45,0.018/23,10.915/27,0.642/25,0.068/28,21.562/53,15.125/7,,3,"(3, (0, 1, 2), 'Va+Vm+Pg')"
oracle_ac_constraint_dual,O-CD,$V_a{+}V_m{+}Q_g$,Qg+Vm+Va,Va+Vm+Qg,18,12,0.49462687969207764,73.0,0.5194334983825684,-51.586946066872734,\textbf{F},0.242/-39,0.031/13,\textbf{F},\textbf{F},0.243/-2,11.833/-140,\textbf{F},\textbf{F},0.746/-53,0.091/-50,70.760/-356,0.019/15,31.788/-112,1.764/-107,0.077/19,\textbf{F},63.945/-292,,3,"(3, (0, 1, 3), 'Va+Vm+Qg')"
oracle_ac_constraint_dual,O-CD,$V_a{+}P_g{+}Q_g$,Pg+Qg+Va,Va+Pg+Qg,18,15,1.2357661724090576,33.0,1.2800133228302002,15.915541988003573,\textbf{F},0.171/2,0.030/16,\textbf{F},4.347/-60,0.187/21,4.909/0,5.494/39,\textbf{F},1.236/-153,0.048/20,10.136/35,0.017/28,12.305/18,0.968/-14,0.075/21,43.242/6,18.733/-15,,3,"(3, (0, 2, 3), 'Va+Pg+Qg')"
oracle_ac_constraint_dual,O-CD,$V_m{+}P_g{+}Q_g$,Pg+Qg+Vm,Vm+Pg+Qg,18,16,3.724198818206787,42.5,4.2000792026519775,-30.402946868411753,64.367/-112,0.183/-5,0.031/14,\textbf{F},9.579/-252,0.173/27,5.465/-11,18.987/-112,\textbf{F},1.983/-306,0.058/5,19.614/-26,0.033/-44,10.501/30,1.495/-75,0.079/17,65.695/-43,21.946/-35,,3,"(3, (1, 2, 3), 'Vm+Pg+Qg')"
oracle_ac_constraint_dual,O-CD,$V_a{+}V_m{+}P_g{+}Q_g$,Pg+Qg+Vm+Va,Va+Vm+Pg+Qg,18,18,1.9438090324401855,5.5,2.537220597267151,44.333413570280925,11.432/62,0.124/29,0.028/21,18.378/59,1.499/45,0.167/30,2.389/52,5.112/43,41.639/75,0.285/42,0.043/29,5.285/66,0.014/37,6.703/55,0.479/44,0.066/30,8.342/82,8.972/45,,3,"(4, (0, 1, 2, 3), 'Va+Vm+Pg+Qg')"
