family,blocks,Converged,Median solve [s],Mean solve [s],Median iter,Mean iter,Case wins
Oracle AC bounds-dual-only,Pg+Vm,12,0.7146040201187134,7.74470869700114,73.5,76.16666666666667,0
Oracle AC bounds-dual-only,Qg+Vm,11,0.7258579730987549,10.324095834385265,84.0,102.54545454545455,0
Oracle AC bounds-dual-only,Vm+Va,13,0.7515420913696289,14.386042631589449,97.0,136.23076923076923,0
Oracle AC bounds-dual-only,Pg+Qg,13,1.1914489269256592,9.381354643748356,62.0,90.38461538461539,0
Oracle AC bounds-dual-only,Pg,13,1.521338939666748,7.472596645355225,74.0,87.46153846153847,0
Oracle AC bounds-dual-only,Pg+Qg+Va,14,1.5646840333938599,10.4467180115836,66.5,102.78571428571429,0
Oracle AC bounds-dual-only,Pg+Va,14,1.6106079816818237,10.016133768217903,75.0,102.64285714285714,0
Oracle AC bounds-dual-only,Pg+Qg+Vm+Va,16,1.9048645496368408,7.984019190073013,16.0,34.875,15
Oracle AC bounds-dual-only,Pg+Vm+Va,16,2.8138309717178345,15.008506119251251,39.0,65.25,2
Oracle AC primal+dual (all bounds),Pg+Qg+Vm,14,0.7654678821563721,18.15170238699232,27.0,79.78571428571429,0
Oracle AC primal+dual (all bounds),Qg+Vm,15,0.7916700839996338,10.741763369242351,35.0,71.2,0
Oracle AC primal+dual (all bounds),Pg+Qg,14,0.8735944032669067,13.63938273702349,32.0,60.142857142857146,0
Oracle AC primal+dual (all bounds),Pg+Vm,15,1.147808074951172,13.557263167699178,21.0,74.0,0
Oracle AC primal+dual (all bounds),Qg,14,1.2326589822769165,5.472311070987156,35.0,49.0,0
Oracle AC primal+dual (all bounds),Vm+Va,17,1.425807237625122,6.02390071924995,4.0,5.823529411764706,0
Oracle AC primal+dual (all bounds),Va,17,1.588818073272705,12.015272771610933,7.0,24.58823529411765,1
Oracle AC primal+dual (all bounds),Pg+Qg+Va,17,1.624897003173828,7.381365229101742,9.0,15.058823529411764,0
Oracle AC primal+dual (all bounds),Qg+Va,17,1.6442348957061768,12.315654993057251,7.0,27.529411764705884,1
Oracle AC primal+dual (all bounds),Pg+Qg+Vm+Va,18,1.7862249612808228,5.71513032913208,3.5,4.111111111111111,9
Oracle AC primal+dual (all bounds),Qg+Vm+Va,18,1.8215705156326294,6.062784141964382,4.0,4.888888888888889,6
Oracle AC primal+dual (all bounds),Pg+Vm+Va,18,1.835580587387085,13.584326797061497,4.0,18.166666666666668,1
Oracle AC primal+dual (all bounds),Pg+Va,18,2.0007710456848145,17.452574849128723,8.5,34.111111111111114,0
Oracle AC primal+dual (all bounds),Vm,16,2.768085479736328,14.069771498441696,19.0,75.0625,0
Oracle AC primal+dual (all bounds),Pg,17,3.2147128582000732,22.734867278267355,30.0,91.6470588235294,0
