family,FamilyShort,Combination,blocks,blocks_display,Cases,OK,MedSolve,MedIter,MedE2E,MedSpd,"10,000",118,14,14K,1K,200,2K,"3,022","30,000",300,39,4K,5,"5,658",500,57,6K,"7,336","8,387",family_order,combo_order
oracle_ac_primal_dual_all_bounds,O-PD-AB,$V_a{+}V_m{+}Q_g$,Qg+Vm+Va,Va+Vm+Qg,18,18,1.8215705156326294,4.0,2.427717089653015,47.28701621943878,11.660/62/8,0.134/23/3,0.028/22/3,17.204/62/5,1.302/52/4,0.162/32/3,2.341/53/4,3.217/64/9,43.989/73/18,0.263/46/3,0.066/-9/3,4.952/68/4,0.017/24/3,8.278/45/4,0.488/43/3,0.062/35/3,6.551/86/4,8.416/48/4,,5,"(3, (0, 1, 3), 'Va+Vm+Qg')"
oracle_ac_primal_dual_all_bounds,O-PD-AB,$V_a{+}P_g{+}Q_g$,Pg+Qg+Va,Va+Pg+Qg,18,17,1.624897003173828,9.0,2.0266880989074707,35.79160816472655,22.632/25/47,0.133/23/5,0.034/3/5,\textbf{F},1.625/40/11,0.168/29/4,2.728/45/9,3.750/58/16,49.091/70/26,0.307/37/7,0.068/-12/7,6.006/61/10,0.020/12/5,7.413/51/8,0.547/36/9,0.067/29/5,18.684/59/63,12.207/25/19,,5,"(3, (0, 2, 3), 'Va+Pg+Qg')"
oracle_ac_primal_dual_all_bounds,O-PD-AB,$V_m{+}P_g{+}Q_g$,Pg+Qg+Vm,Vm+Pg+Qg,18,14,0.7654678821563721,27.0,0.8116223812103271,-19.750791989298673,\textbf{F},0.159/9/19,0.030/16/9,169.635/-277/283,11.760/-332/242,0.174/27/6,7.217/-46/64,27.094/-202/266,\textbf{F},0.686/-40/70,0.123/-102/22,\textbf{F},0.018/22/13,11.389/24/17,0.845/1/32,0.068/29/9,\textbf{F},24.927/-53/65,,5,"(3, (1, 2, 3), 'Vm+Pg+Qg')"
oracle_ac_primal_dual_all_bounds,O-PD-AB,$V_a{+}V_m{+}P_g{+}Q_g$,Pg+Qg+Vm+Va,Va+Vm+Pg+Qg,18,18,1.7862249612808228,3.5,2.3886523246765137,50.05941651758707,11.201/63/8,0.126/27/2,0.030/15/2,17.428/61/5,1.307/52/4,0.162/32/2,2.265/54/3,3.109/65/9,38.632/77/12,0.255/48/2,0.099/-63/2,6.133/61/4,0.017/27/2,6.579/56/4,0.472/45/3,0.062/35/2,6.541/86/4,8.452/48/4,,5,"(4, (0, 1, 2, 3), 'Va+Vm+Pg+Qg')"
oracle_ac_dual_only_constraint,DO-C,---,,,18,13,1.0229299068450928,65.0,1.0591328144073486,-39.18130051386599,\textbf{F},0.207/-19/35,0.034/5/14,\textbf{F},8.838/-225/171,0.302/-27/41,6.865/-39/65,\textbf{F},\textbf{F},1.023/-109/130,0.096/-58/30,\textbf{F},0.027/-17/19,25.834/-72/95,1.970/-131/104,0.081/15/18,52.032/-14/211,37.338/-129/114,,6,"(0, (), '')"
oracle_ac_dual_only_bounds,DO-B,---,,,18,14,1.7949455976486206,47.0,1.858664631843567,-36.184602867076926,61.616/-103/185,0.236/-36/45,0.034/5/10,\textbf{F},9.918/-265/209,0.192/19/9,5.562/-13/49,\textbf{F},\textbf{F},0.795/-63/97,0.083/-37/27,8.302/47/25,0.051/-121/80,8.924/40/16,2.795/-228/71,0.086/10/24,\textbf{F},22.308/-37/62,,7,"(0, (), '')"
oracle_ac_dual_only_full,DO-F,---,,,18,14,0.7318228483200073,23.5,0.8912638425827026,8.57681877591428,\textbf{F},0.193/-11/32,0.031/13/7,\textbf{F},8.907/-228/180,0.174/27/5,3.348/32/19,22.701/-153/228,\textbf{F},0.523/-7/46,0.105/-73/35,9.279/40/19,0.019/17/15,9.781/35/11,0.941/-10/28,0.072/25/7,\textbf{F},15.688/4/32,,8,"(0, (), '')"
dc_seed,DC,$V_a$,Va,Va,18,17,2.629779815673828,38.0,3.2389678955078125,3.289606528903048,27.365/10/64,0.192/-10/29,0.030/15/15,42.229/6/61,2.630/3/37,0.233/2/21,6.668/-35/61,6.529/27/51,107.184/35/110,0.413/15/30,0.099/-63/23,15.678/-1/55,0.022/3/15,14.646/2/38,1.408/-65/56,0.072/24/14,\textbf{F},16.442/-1/39,,9,"(1, (0,), 'Va')"
dc_seed,DC,$P_g$,Pg,Pg,18,17,2.8555450439453125,40.0,3.4338090419769287,0.07437352869523756,32.050/-6/78,0.171/2/22,0.030/14/13,43.777/3/62,2.856/-5/42,0.227/5/19,5.212/-6/48,8.388/7/54,165.297/0/176,0.430/12/32,0.092/-51/23,12.259/21/40,0.023/-1/17,14.971/0/40,0.856/-0/31,0.072/25/12,\textbf{F},16.308/0/40,,9,"(1, (2,), 'Pg')"
dc_seed,DC,$V_a{+}P_g$,Pg+Va,Va+Pg,18,18,4.008045077323914,33.5,4.628035068511963,9.109249317600003,74.502/-146/195,0.190/-9/28,0.032/9/14,37.476/17/52,2.468/9/33,0.217/8/16,5.548/-12/48,7.639/15/44,108.666/34/107,0.418/15/30,0.077/-26/18,12.021/23/38,0.018/21/13,11.942/20/32,1.153/-35/50,0.075/21/13,58.667/-28/250,15.204/7/34,,9,"(2, (0, 2), 'Va+Pg')"
